Type,Notes,Distance (miles) From Start
Start,Start: Miccosukee Community Center,0
Left,Turn left onto Veterans Memorial Rd,0.09
Straight,Continue onto Metcalf Rd,6.45
Right,Turn right onto GA-35 N,16.88
Right,Turn right onto S Pinetree Blvd,17.34
Rest Stop,Rest Stop: Thomasville Fire Station #2,19
Right,Turn right onto Old Monticello Rd,20.73
Right,Turn right onto GA-3 S/GA-300 S/US-19 S,21.35
Left,Turn left onto Sunset Dr,21.5
Left,Slight left onto County Farm Rd,22.96
Right,Turn right onto Joyner Rd,23.46
Left,Turn left onto Cone Rd,23.9
Straight,Continue onto Gatlin Creek Rd,24.66
Right,Turn right onto Summer Hill Rd,26.17
Left,Turn left onto Five Forks Rd,32.72
Right,Turn right onto Coffee Rd,35.75
Right,Turn right onto Salem Rd,36.95
Right,Slight right onto N Green St,42.3
Right,Turn right onto E Railroad Ave,43
Left,Turn left onto Stone St,43.34
Left,Turn left onto W Railroad Ave,43.37
Left,Turn left onto Pear St,43.46
Rest Stop,Rest Stop: Boston Lunch,43.5
Right,Turn right onto N Main St,43.54
Left,Turn left onto E Jefferson St,43.59
Straight,Continue onto Old Hwy 84E,44.23
Left,Turn left to stay on Old Hwy 84E,45.33
Straight,Continue onto Old Thomasville Rd/SR 364,46.38
Straight,Continue onto Co Rd 305,47.03
Left,Slight left onto Old Thomasville Rd,49.61
Straight,Continue onto Dixie Rd,50.95
Left,Turn left onto Dixie Rd/SR 364,56.38
Rest Stop,Rest Stop: Dixie Highway,57.5
Right,Turn right onto GA-38 E/US-84 E/W Screven St,57.56
Right,Turn right onto S Court St,58.93
Right,Turn right onto Dodd Rd 53,62.66
Straight,Continue onto Dodd Rd 54,65.58
Left,Turn left onto Grooverville Rd 275,66.22
Left,Turn left onto Co Rd 94/Ramsey Rd,71.91
Left,Turn left onto Co Rd 275/Grooverville Rd,71.98
Straight,Continue onto 12 Mile Post Rd,73.04
Left,Slight left onto Mitchell Rd,73.51
Right,Turn right at Oak Grove Rd,77.01
Left,Turn left onto Boston-Monticello Rd/SR 33,77.04
Straight,Continue onto Co Rd 149,78.56
Rest Stop,Rest Stop: Olive Branch Church,80.2
Right,Turn right onto Co Rd 142/Co Rd 259/Lake Rd,86.77
Rest Stop,Rest Stop: Coke Stop,92.7
Straight,Continue onto T S Green Rd,97.35
Left,Turn left onto Veterans Memorial Rd,99.84
Right,Turn right onto Co Rd 151/Moccasin Gap Rd,100.51
Finish,Finish: Miccosukee Community Center,100.5
